work_id,created_date,team,workstream,priority,status,estimated_hours,actual_hours,capacity_hours,due_date,closed_date
SMP-64,2026-01-08,Content QA,Quality Check,Medium,In Progress,1.4,0.9,357.4,2026-01-12,
SMP-65,2026-03-05,Learner Support,Support Ticket,Medium,Closed,4.9,7.4,337.3,2026-03-09,
SMP-66,2026-04-10,Assessment Ops,Documentation,Medium,Open,6.3,10.4,290.0,2026-04-23,
SMP-67,2026-03-11,Content QA,Review,High,In Progress,22.6,3.3,303.1,2026-03-22,
SMP-68,2026-05-08,Review Team,Support Ticket,High,Closed,4.8,5.3,362.0,2026-05-17,
SMP-69,2026-02-22,Content QA,Review,Medium,Resolved,4.1,1.9,305.4,2026-03-08,
SMP-70,2026-04-08,Assessment Ops,Support Ticket,Medium,Closed,5.3,10.3,365.9,2026-04-12,
SMP-71,2026-05-07,Review Team,Support Ticket,Medium,Open,8.0,3.4,374.6,2026-05-16,
SMP-72,2026-06-03,Content QA,Documentation,High,In Progress,3.1,9.5,292.8,2026-06-12,
SMP-73,2026-03-06,Content QA,Support Ticket,Low,Closed,17.4,18.8,345.4,2026-03-11,
SMP-74,2025-12-26,Review Team,Quality Check,Medium,In Progress,7.0,6.9,326.1,2025-12-30,
SMP-75,2026-04-28,Content QA,Documentation,Medium,Closed,12.7,7.0,401.0,2026-05-11,
SMP-76,2026-03-24,Content QA,Review,Medium,Closed,3.3,2.7,359.3,2026-03-31,
SMP-77,2026-05-25,Assessment Ops,Quality Check,Medium,In Progress,3.9,3.7,312.1,2026-05-30,
SMP-78,2026-03-12,Review Team,Documentation,Medium,In Progress,4.6,2.8,344.3,2026-03-25,
SMP-79,2026-02-23,Assessment Ops,Support Ticket,Medium,In Progress,6.2,5.0,297.9,2026-03-01,
SMP-80,2025-12-30,Learner Support,Documentation,Medium,Open,7.6,2.2,324.7,2026-01-06,
SMP-81,2026-03-11,Assessment Ops,Documentation,Medium,Open,9.6,3.5,337.2,2026-03-21,
SMP-82,2026-04-14,Review Team,Review,Medium,In Progress,1.6,23.1,335.2,2026-04-21,
SMP-83,2026-05-07,Learner Support,Review,High,In Progress,2.4,15.2,340.8,2026-05-12,
SMP-84,2026-05-22,Learner Support,Quality Check,Low,Resolved,8.9,1.1,298.3,2026-05-29,
SMP-85,2026-01-26,Content QA,Support Ticket,Medium,Open,3.2,1.2,265.1,2026-01-30,
SMP-86,2026-04-05,Content QA,Review,High,Closed,5.8,4.4,317.3,2026-04-15,
SMP-87,2026-05-13,Review Team,Documentation,Critical,Open,1.1,8.6,298.8,2026-05-19,
SMP-88,2026-02-04,Review Team,Review,Critical,Open,1.1,3.8,305.5,2026-02-13,
SMP-89,2026-02-19,Content QA,Review,Low,Closed,12.3,5.4,404.8,2026-03-01,
SMP-90,2026-05-20,Assessment Ops,Support Ticket,High,Closed,7.3,6.4,370.7,2026-05-28,
SMP-91,2026-04-03,Assessment Ops,Support Ticket,High,In Progress,3.0,4.8,323.9,2026-04-17,
SMP-92,2026-03-21,Content QA,Quality Check,High,Resolved,11.0,2.0,279.8,2026-04-03,
SMP-93,2026-04-19,Content QA,Support Ticket,High,Open,4.5,15.4,284.6,2026-04-28,
SMP-94,2026-03-21,Content QA,Support Ticket,Medium,Open,5.6,8.5,342.6,2026-03-30,
SMP-95,2026-06-14,Review Team,Support Ticket,High,Open,2.5,6.7,367.4,2026-06-23,
SMP-96,2026-05-04,Content QA,Quality Check,Medium,Closed,14.0,4.2,319.9,2026-05-17,
SMP-97,2025-12-28,Review Team,Documentation,High,Closed,1.3,6.6,334.7,2026-01-11,
SMP-98,2026-01-14,Assessment Ops,Review,Medium,Closed,1.8,7.9,338.9,2026-01-22,
SMP-99,2026-03-27,Content QA,Support Ticket,Low,Closed,4.1,8.7,367.3,2026-04-04,
SMP-100,2026-05-16,Assessment Ops,Documentation,Low,Closed,3.0,3.2,264.2,2026-05-23,
SMP-101,2025-12-31,Assessment Ops,Documentation,High,Resolved,2.2,8.6,335.5,2026-01-09,
SMP-102,2026-04-21,Learner Support,Support Ticket,High,Open,9.0,0.3,344.2,2026-04-26,
SMP-103,2026-05-05,Assessment Ops,Documentation,Low,Resolved,2.4,4.5,363.3,2026-05-13,
SMP-104,2026-05-10,Content QA,Documentation,High,In Progress,6.9,9.4,343.9,2026-05-14,
SMP-105,2026-05-26,Learner Support,Support Ticket,Medium,Closed,4.1,3.9,291.5,2026-06-04,
SMP-106,2026-01-22,Review Team,Quality Check,Medium,Resolved,3.6,1.6,309.7,2026-02-01,
SMP-107,2026-03-29,Learner Support,Quality Check,Medium,In Progress,3.1,7.3,276.7,2026-04-09,
SMP-108,2026-05-13,Learner Support,Support Ticket,Low,Closed,5.1,3.3,336.8,2026-05-20,
SMP-109,2026-02-21,Content QA,Review,Low,Resolved,4.2,10.0,336.7,2026-03-05,
SMP-110,2026-01-22,Review Team,Review,Low,Resolved,2.2,12.2,347.9,2026-01-27,
SMP-111,2026-03-15,Assessment Ops,Support Ticket,Low,In Progress,2.4,1.6,296.1,2026-03-29,
SMP-112,2026-01-02,Learner Support,Support Ticket,Low,Open,6.5,0.8,290.1,2026-01-11,
SMP-113,2026-01-27,Assessment Ops,Quality Check,Low,Open,9.3,9.0,383.4,2026-02-06,
SMP-114,2026-05-22,Learner Support,Support Ticket,High,Closed,11.9,5.1,336.4,2026-06-02,
SMP-115,2026-04-18,Content QA,Support Ticket,Medium,Open,2.5,12.0,391.1,2026-04-27,
SMP-116,2026-05-23,Content QA,Quality Check,Low,Closed,5.4,9.2,345.4,2026-06-02,
SMP-117,2026-05-20,Content QA,Quality Check,Medium,Open,3.2,4.0,278.8,2026-05-30,
SMP-118,2026-05-26,Review Team,Support Ticket,Medium,In Progress,7.9,3.2,358.2,2026-05-30,
SMP-119,2026-02-13,Review Team,Review,Medium,In Progress,4.9,14.3,373.2,2026-02-20,
SMP-120,2026-03-14,Content QA,Review,Low,Open,9.4,1.5,314.2,2026-03-22,
SMP-121,2026-04-09,Learner Support,Quality Check,Medium,Closed,7.2,8.3,262.6,2026-04-13,
SMP-122,2026-02-06,Assessment Ops,Documentation,High,Closed,5.1,11.4,353.3,2026-02-17,
SMP-123,2026-06-03,Review Team,Quality Check,Medium,Resolved,5.3,3.1,325.1,2026-06-15,
SMP-124,2025-12-20,Review Team,Review,Medium,Resolved,5.4,11.1,339.7,2025-12-28,
SMP-125,2026-05-19,Content QA,Review,High,Resolved,6.3,4.9,236.0,2026-06-01,
SMP-126,2026-04-14,Learner Support,Documentation,Low,Closed,4.3,7.0,346.0,2026-04-22,
SMP-127,2026-02-02,Learner Support,Support Ticket,High,Closed,6.9,9.1,233.7,2026-02-11,
SMP-128,2026-04-28,Review Team,Documentation,Medium,Open,2.1,2.5,299.6,2026-05-10,
SMP-129,2026-03-03,Assessment Ops,Review,High,In Progress,6.1,2.5,361.0,2026-03-07,
SMP-130,2026-05-19,Learner Support,Documentation,Medium,In Progress,3.8,2.9,266.1,2026-05-24,
SMP-131,2026-06-17,Review Team,Review,Medium,Resolved,6.1,2.4,264.8,2026-06-30,
SMP-132,2026-02-08,Learner Support,Quality Check,Medium,In Progress,2.8,3.0,314.3,2026-02-13,
SMP-133,2026-03-14,Learner Support,Support Ticket,High,Resolved,6.5,6.9,387.6,2026-03-28,
SMP-134,2026-01-26,Assessment Ops,Review,High,Open,1.0,7.4,386.5,2026-02-07,
SMP-135,2026-04-23,Review Team,Support Ticket,Medium,Resolved,0.8,7.0,308.7,2026-04-28,
SMP-136,2026-04-13,Assessment Ops,Support Ticket,Critical,Resolved,2.4,4.9,365.0,2026-04-27,
SMP-137,2026-05-20,Content QA,Review,High,Resolved,0.6,8.5,350.3,2026-06-01,
SMP-138,2026-05-13,Learner Support,Support Ticket,High,In Progress,8.7,15.4,339.1,2026-05-18,
SMP-139,2026-06-13,Content QA,Review,High,Open,7.7,2.0,342.4,2026-06-17,
SMP-140,2026-06-11,Learner Support,Quality Check,Medium,Open,17.6,11.3,304.6,2026-06-15,
SMP-141,2026-05-29,Learner Support,Documentation,Critical,In Progress,11.7,8.5,358.0,2026-06-09,
SMP-142,2026-01-15,Assessment Ops,Support Ticket,Medium,Open,4.0,18.9,367.1,2026-01-27,
SMP-143,2025-12-26,Assessment Ops,Support Ticket,Medium,Open,13.4,13.9,424.5,2026-01-03,
SMP-144,2026-03-16,Review Team,Quality Check,Low,Closed,3.4,3.7,362.0,2026-03-26,
SMP-145,2026-02-19,Review Team,Documentation,High,Closed,10.7,13.7,244.1,2026-02-23,
SMP-146,2026-05-29,Assessment Ops,Review,Medium,Resolved,4.9,2.6,287.8,2026-06-04,
SMP-147,2026-05-12,Learner Support,Review,Medium,Open,11.1,23.7,341.6,2026-05-24,
SMP-148,2026-03-05,Learner Support,Support Ticket,Low,Open,0.7,13.2,332.3,2026-03-09,
SMP-149,2026-04-02,Learner Support,Documentation,Medium,Closed,1.8,12.2,264.7,2026-04-06,
SMP-150,2026-04-04,Assessment Ops,Quality Check,Medium,Resolved,5.7,4.5,325.0,2026-04-14,
SMP-151,2026-05-29,Learner Support,Review,Low,Open,3.3,8.0,317.3,2026-06-02,
SMP-152,2025-12-23,Learner Support,Support Ticket,Low,Open,5.8,6.5,328.1,2025-12-28,
SMP-153,2026-03-17,Review Team,Documentation,High,Resolved,8.0,2.0,325.5,2026-03-29,
SMP-154,2026-04-19,Content QA,Review,Critical,Resolved,8.2,5.3,362.1,2026-05-02,
SMP-155,2026-03-11,Content QA,Review,Low,Resolved,1.0,7.5,381.1,2026-03-16,
SMP-156,2026-06-03,Assessment Ops,Documentation,Low,Resolved,10.3,7.7,353.8,2026-06-16,
SMP-157,2026-06-09,Assessment Ops,Review,Medium,Open,2.8,5.8,291.0,2026-06-23,
SMP-158,2026-05-17,Assessment Ops,Quality Check,Low,Open,1.3,13.0,299.6,2026-05-29,
SMP-159,2026-03-13,Content QA,Quality Check,Medium,Open,7.2,4.1,306.7,2026-03-20,
SMP-160,2026-05-28,Assessment Ops,Documentation,Medium,Resolved,3.4,5.0,327.9,2026-06-11,
SMP-161,2026-01-01,Learner Support,Documentation,Medium,Resolved,3.1,3.4,314.9,2026-01-06,
SMP-162,2026-04-17,Assessment Ops,Support Ticket,High,Resolved,3.4,3.3,317.6,2026-04-24,
SMP-163,2026-02-05,Learner Support,Support Ticket,High,Resolved,5.2,18.9,297.6,2026-02-15,
SMP-164,2026-02-01,Learner Support,Documentation,High,Closed,3.9,4.0,363.1,2026-02-06,
SMP-165,2026-04-20,Content QA,Quality Check,High,In Progress,16.3,1.0,359.7,2026-04-24,
SMP-166,2026-05-07,Content QA,Documentation,Medium,Resolved,6.4,7.8,363.3,2026-05-18,
SMP-167,2026-05-28,Review Team,Review,Medium,Open,8.9,1.2,327.0,2026-06-10,
SMP-168,2026-01-26,Review Team,Documentation,Low,Closed,13.1,2.2,345.8,2026-02-01,
SMP-169,2026-05-25,Content QA,Support Ticket,Low,Closed,3.2,11.3,298.0,2026-06-01,
SMP-170,2026-05-18,Review Team,Review,Medium,Closed,6.7,4.1,294.5,2026-05-29,
SMP-171,2026-02-13,Assessment Ops,Quality Check,High,Closed,21.2,11.1,310.8,2026-02-22,
SMP-172,2025-12-30,Review Team,Support Ticket,Medium,Closed,1.7,4.1,350.3,2026-01-03,
SMP-173,2026-05-07,Content QA,Quality Check,Low,Resolved,1.4,8.9,324.7,2026-05-20,
SMP-174,2026-05-17,Learner Support,Support Ticket,Low,In Progress,8.5,4.2,289.9,2026-05-24,
SMP-175,2026-03-12,Learner Support,Support Ticket,High,Resolved,2.0,5.1,333.1,2026-03-23,
SMP-176,2026-01-17,Review Team,Quality Check,Low,Open,2.1,3.2,344.7,2026-01-28,
SMP-177,2026-01-14,Content QA,Documentation,Low,Closed,8.0,8.3,335.6,2026-01-28,
SMP-178,2026-02-24,Review Team,Support Ticket,Medium,Open,4.4,4.5,306.6,2026-03-10,
SMP-179,2026-05-05,Review Team,Quality Check,Medium,Closed,5.9,5.1,332.2,2026-05-18,
SMP-180,2026-02-14,Assessment Ops,Review,High,In Progress,4.4,6.2,315.2,2026-02-18,
SMP-181,2025-12-24,Assessment Ops,Review,Low,Resolved,1.4,6.0,318.5,2026-01-03,
SMP-182,2026-04-23,Assessment Ops,Support Ticket,Medium,Open,2.7,10.3,326.8,2026-05-01,
SMP-183,2026-05-02,Learner Support,Review,Medium,Open,11.5,1.6,356.3,2026-05-11,
SMP-184,2026-01-20,Content QA,Quality Check,Medium,Open,5.5,3.0,393.8,2026-02-03,
SMP-185,2026-03-30,Assessment Ops,Quality Check,Medium,Open,6.2,7.8,384.5,2026-04-11,
SMP-186,2026-02-28,Assessment Ops,Support Ticket,High,Resolved,8.2,6.5,351.9,2026-03-04,
SMP-187,2026-03-19,Review Team,Documentation,Low,Open,13.6,12.1,315.9,2026-04-02,
SMP-188,2025-12-20,Learner Support,Documentation,Medium,In Progress,4.6,8.0,319.1,2025-12-29,
SMP-189,2026-04-12,Assessment Ops,Documentation,Low,Open,7.0,9.5,320.7,2026-04-21,
SMP-190,2026-02-04,Content QA,Support Ticket,Medium,In Progress,9.1,8.6,370.3,2026-02-16,
SMP-191,2026-03-29,Learner Support,Quality Check,High,Closed,10.7,6.3,233.2,2026-04-04,
SMP-192,2026-03-05,Content QA,Support Ticket,Critical,Resolved,4.9,6.4,339.0,2026-03-14,
SMP-193,2026-04-08,Review Team,Review,Medium,Closed,4.6,5.8,260.3,2026-04-18,
SMP-194,2026-01-07,Content QA,Documentation,Medium,Closed,1.0,2.8,329.9,2026-01-20,
SMP-195,2026-02-22,Learner Support,Support Ticket,Medium,Open,11.5,1.4,376.4,2026-03-05,
SMP-196,2026-04-12,Assessment Ops,Support Ticket,Medium,Closed,3.9,1.7,298.1,2026-04-20,
SMP-197,2026-05-06,Review Team,Support Ticket,Low,Open,1.9,18.3,250.1,2026-05-10,
SMP-198,2026-02-25,Learner Support,Support Ticket,Medium,In Progress,7.5,17.6,375.4,2026-03-04,
SMP-199,2025-12-23,Learner Support,Quality Check,High,Open,0.3,8.1,382.7,2026-01-06,
SMP-200,2026-04-29,Learner Support,Support Ticket,High,Resolved,8.6,2.6,347.5,2026-05-03,
SMP-201,2026-03-20,Assessment Ops,Review,Critical,Resolved,3.3,3.6,373.9,2026-04-03,
SMP-202,2026-04-16,Learner Support,Documentation,Medium,Closed,2.1,9.2,301.9,2026-04-25,
SMP-203,2026-01-16,Content QA,Quality Check,Medium,Resolved,8.7,1.3,371.0,2026-01-24,
SMP-204,2026-03-07,Assessment Ops,Documentation,Low,Open,0.6,3.0,389.5,2026-03-21,
SMP-205,2026-05-27,Assessment Ops,Documentation,Medium,Closed,13.3,2.2,352.4,2026-06-10,
SMP-206,2026-05-24,Content QA,Quality Check,High,Open,8.7,17.7,339.8,2026-06-07,
SMP-207,2026-02-14,Learner Support,Documentation,Low,Closed,3.8,8.7,374.9,2026-02-28,
SMP-208,2026-04-12,Learner Support,Support Ticket,High,Resolved,6.6,2.2,369.6,2026-04-16,
SMP-209,2026-01-03,Assessment Ops,Review,High,In Progress,3.9,13.6,303.8,2026-01-16,
SMP-210,2026-05-14,Assessment Ops,Quality Check,Low,In Progress,1.7,15.2,377.6,2026-05-18,
SMP-211,2026-02-05,Content QA,Quality Check,Medium,In Progress,3.1,3.0,356.1,2026-02-10,
SMP-212,2026-02-18,Content QA,Review,High,Open,12.8,7.1,335.6,2026-02-22,
SMP-213,2026-06-11,Assessment Ops,Documentation,High,Closed,10.4,4.1,375.6,2026-06-21,
SMP-214,2026-03-27,Assessment Ops,Support Ticket,Low,In Progress,8.5,3.4,362.4,2026-04-09,
SMP-215,2026-05-26,Content QA,Documentation,High,Closed,18.2,0.2,356.1,2026-06-01,
SMP-216,2026-01-23,Assessment Ops,Quality Check,High,Open,4.6,3.6,312.2,2026-01-31,
SMP-217,2026-05-05,Assessment Ops,Review,Low,Resolved,3.8,8.0,359.2,2026-05-13,
SMP-218,2026-06-17,Assessment Ops,Support Ticket,Medium,In Progress,6.3,7.2,291.2,2026-06-24,
SMP-219,2026-01-01,Content QA,Review,Critical,Closed,0.2,8.3,325.6,2026-01-09,
SMP-220,2026-02-01,Content QA,Support Ticket,Medium,Open,7.1,12.6,270.7,2026-02-13,
SMP-221,2026-01-14,Assessment Ops,Quality Check,Medium,Closed,4.4,4.4,270.3,2026-01-25,
SMP-222,2026-02-03,Content QA,Documentation,High,Open,10.1,1.5,345.5,2026-02-10,
SMP-223,2026-02-13,Review Team,Documentation,Low,Open,13.1,6.0,327.1,2026-02-20,
SMP-224,2026-01-01,Review Team,Review,Medium,Open,1.5,12.0,333.0,2026-01-09,
SMP-225,2026-05-30,Assessment Ops,Quality Check,Medium,In Progress,0.3,1.7,350.7,2026-06-06,
SMP-226,2026-02-03,Content QA,Quality Check,Medium,In Progress,11.6,12.3,342.2,2026-02-14,
SMP-227,2026-06-03,Learner Support,Support Ticket,Medium,In Progress,5.4,2.4,299.0,2026-06-17,
SMP-228,2026-05-06,Assessment Ops,Review,Medium,Open,6.0,5.0,332.6,2026-05-19,
SMP-229,2026-01-19,Learner Support,Quality Check,Medium,Resolved,6.0,5.4,327.7,2026-01-24,
SMP-230,2026-04-24,Review Team,Review,High,In Progress,8.4,7.9,311.8,2026-04-29,
SMP-231,2026-05-08,Review Team,Documentation,High,In Progress,10.0,4.8,325.6,2026-05-12,
SMP-232,2026-01-11,Assessment Ops,Review,High,Resolved,9.1,4.9,317.2,2026-01-17,
SMP-233,2026-01-11,Content QA,Documentation,Medium,Open,3.5,6.7,307.3,2026-01-22,
SMP-234,2026-02-25,Assessment Ops,Documentation,High,In Progress,9.4,2.5,318.3,2026-03-03,
SMP-235,2025-12-31,Learner Support,Support Ticket,Medium,Closed,14.6,5.2,338.2,2026-01-10,
SMP-236,2026-03-05,Review Team,Quality Check,Medium,Closed,3.2,18.6,402.2,2026-03-19,
SMP-237,2026-03-15,Review Team,Support Ticket,Medium,Open,5.4,9.1,301.4,2026-03-26,
SMP-238,2026-04-18,Review Team,Documentation,High,Closed,20.5,5.9,348.3,2026-04-28,
SMP-239,2026-04-01,Review Team,Quality Check,High,Closed,3.2,5.2,278.9,2026-04-15,
SMP-240,2026-03-11,Content QA,Review,Medium,In Progress,7.6,6.3,385.7,2026-03-24,
SMP-241,2026-01-27,Review Team,Support Ticket,Low,Closed,2.4,4.5,318.3,2026-02-04,
SMP-242,2026-04-04,Assessment Ops,Quality Check,High,Open,8.0,18.0,334.9,2026-04-10,
SMP-243,2026-03-11,Assessment Ops,Support Ticket,High,Closed,0.2,3.9,374.7,2026-03-19,
SMP-244,2026-05-19,Content QA,Support Ticket,High,Closed,4.2,12.1,364.6,2026-06-01,
SMP-245,2026-04-24,Content QA,Support Ticket,Low,Resolved,9.2,12.5,277.8,2026-05-07,
SMP-246,2026-04-29,Content QA,Support Ticket,High,Open,2.0,5.3,349.4,2026-05-06,
SMP-247,2026-04-01,Content QA,Quality Check,Medium,In Progress,4.2,11.9,322.0,2026-04-15,
SMP-248,2026-02-23,Review Team,Quality Check,Medium,In Progress,4.0,7.2,351.7,2026-03-05,
SMP-249,2026-02-07,Content QA,Support Ticket,Medium,Resolved,6.3,3.9,335.3,2026-02-19,
SMP-250,2026-03-10,Content QA,Support Ticket,Critical,Resolved,10.8,10.2,355.8,2026-03-16,
SMP-251,2026-04-01,Learner Support,Support Ticket,Critical,Closed,12.4,4.1,340.2,2026-04-12,
SMP-252,2026-02-23,Assessment Ops,Quality Check,Low,Closed,0.6,5.9,325.1,2026-03-04,
SMP-253,2026-01-14,Review Team,Support Ticket,Medium,Closed,2.1,3.9,371.2,2026-01-18,
SMP-254,2026-01-07,Review Team,Support Ticket,High,In Progress,2.0,15.1,276.0,2026-01-19,
SMP-255,2025-12-26,Assessment Ops,Quality Check,Low,Closed,4.0,3.3,314.8,2025-12-30,
SMP-256,2026-01-24,Learner Support,Support Ticket,Low,In Progress,2.7,4.5,296.6,2026-01-29,
SMP-257,2026-03-02,Review Team,Quality Check,Low,Resolved,5.3,5.7,325.0,2026-03-13,
SMP-258,2026-02-08,Assessment Ops,Quality Check,High,Resolved,0.7,8.4,315.0,2026-02-22,
SMP-259,2026-01-20,Assessment Ops,Documentation,Medium,In Progress,1.5,4.7,324.8,2026-01-28,
SMP-260,2026-02-13,Assessment Ops,Review,Medium,Resolved,4.6,2.5,312.8,2026-02-26,
SMP-261,2026-04-27,Review Team,Review,High,Open,3.5,9.4,313.6,2026-05-09,
SMP-262,2026-02-13,Content QA,Support Ticket,Medium,Open,0.7,1.7,272.5,2026-02-24,
SMP-263,2026-06-03,Review Team,Documentation,High,Open,2.4,1.2,328.7,2026-06-09,
SMP-264,2026-04-02,Assessment Ops,Support Ticket,Medium,Resolved,4.9,1.3,340.8,2026-04-14,
SMP-265,2026-01-12,Learner Support,Review,Medium,Closed,4.4,16.8,309.1,2026-01-16,
SMP-266,2026-06-12,Learner Support,Support Ticket,Medium,Resolved,6.7,12.7,307.0,2026-06-19,
SMP-267,2026-05-27,Learner Support,Support Ticket,Low,Resolved,3.5,9.0,307.4,2026-06-08,
SMP-268,2026-05-08,Learner Support,Documentation,Low,Resolved,1.9,5.3,388.8,2026-05-13,
